postcode,sub_district_TH,sub_district_EN,sub_district_id,district_TH,district_EN,district_id,province_TH,province_EN,province_id,id
10200,พระบรมมหาราชวัง,Phra Borom Maha Ratchawang,100101,พระนคร,Phra Nakhon,1001,กรุงเทพมหานคร,Bangkok,10,0
10200,วังบูรพาภิรมย์,Wang Burapha Phirom,100102,พระนคร,Phra Nakhon,1001,กรุงเทพมหานคร,Bangkok,10,1
10200,วัดราชบพิธ,Wat Ratchabophit,100103,พระนคร,Phra Nakhon,1001,กรุงเทพมหานคร,Bangkok,10,2
10200,สำราญราษฎร์,Samran Rat,100104,พระนคร,Phra Nakhon,1001,กรุงเทพมหานคร,Bangkok,10,3
10200,ศาลเจ้าพ่อเสือ,San Chaopho Suea,100105,พระนคร,Phra Nakhon,1001,กรุงเทพมหานคร,Bangkok,10,4
10200,เสาชิงช้า,Sao Chingcha,100106,พระนคร,Phra Nakhon,1001,กรุงเทพมหานคร,Bangkok,10,5
10200,บวรนิเวศ,Bowon Niwet,100107,พระนคร,Phra Nakhon,1001,กรุงเทพมหานคร,Bangkok,10,6
10200,ตลาดยอด,Talat Yot,100108,พระนคร,Phra Nakhon,1001,กรุงเทพมหานคร,Bangkok,10,7
10200,ชนะสงคราม,Chana Songkhram,100109,พระนคร,Phra Nakhon,1001,กรุงเทพมหานคร,Bangkok,10,8
10200,บ้านพานถม,Ban Phan Thom,100110,พระนคร,Phra Nakhon,1001,กรุงเทพมหานคร,Bangkok,10,9
10200,บางขุนพรหม,Bang Khun Phrom,100111,พระนคร,Phra Nakhon,1001,กรุงเทพมหานคร,Bangkok,10,10
10200,วัดสามพระยา,Wat Sam Phraya,100112,พระนคร,Phra Nakhon,1001,กรุงเทพมหานคร,Bangkok,10,11
10300,ดุสิต,Dusit,100201,ดุสิต,Dusit,1002,กรุงเทพมหานคร,Bangkok,10,12
10300,วชิรพยาบาล,Wachira Phayaban,100202,ดุสิต,Dusit,1002,กรุงเทพมหานคร,Bangkok,10,13
10300,สวนจิตรลดา,Suan Chit Lada,100203,ดุสิต,Dusit,1002,กรุงเทพมหานคร,Bangkok,10,14
10300,สี่แยกมหานาค,Si Yaek Maha Nak,100204,ดุสิต,Dusit,1002,กรุงเทพมหานคร,Bangkok,10,15
10300,ถนนนครไชยศรี,Thanon Nakhon Chaisi,100206,ดุสิต,Dusit,1002,กรุงเทพมหานคร,Bangkok,10,16
10530,กระทุ่มราย,Krathum Rai,100301,หนองจอก,Nong Chok,1003,กรุงเทพมหานคร,Bangkok,10,17
10530,หนองจอก,Nong Chok,100302,หนองจอก,Nong Chok,1003,กรุงเทพมหานคร,Bangkok,10,18
10530,คลองสิบ,Khlong Sib,100303,หนองจอก,Nong Chok,1003,กรุงเทพมหานคร,Bangkok,10,19
10530,คลองสิบสอง,Khlong Sip Song,100304,หนองจอก,Nong Chok,1003,กรุงเทพมหานคร,Bangkok,10,20
10530,โคกแฝด,Khok Phad,100305,หนองจอก,Nong Chok,1003,กรุงเทพมหานคร,Bangkok,10,21
10530,คู้ฝั่งเหนือ,Khu Fang Nuea,100306,หนองจอก,Nong Chok,1003,กรุงเทพมหานคร,Bangkok,10,22
10530,ลำผักชี,Lam Phak Chi,100307,หนองจอก,Nong Chok,1003,กรุงเทพมหานคร,Bangkok,10,23
10530,ลำต้อยติ่ง,Lam Toiting,100308,หนองจอก,Nong Chok,1003,กรุงเทพมหานคร,Bangkok,10,24
10500,มหาพฤฒาราม,Maha Phruettharam,100401,บางรัก,Bang Rak,1004,กรุงเทพมหานคร,Bangkok,10,25
10500,สีลม,Si Lom,100402,บางรัก,Bang Rak,1004,กรุงเทพมหานคร,Bangkok,10,26
10500,สุริยวงศ์,Suriyawong,100403,บางรัก,Bang Rak,1004,กรุงเทพมหานคร,Bangkok,10,27
10500,บางรัก,Bang Rak,100404,บางรัก,Bang Rak,1004,กรุงเทพมหานคร,Bangkok,10,28
10500,สี่พระยา,Si Phraya,100405,บางรัก,Bang Rak,1004,กรุงเทพมหานคร,Bangkok,10,29
10220,อนุสาวรีย์,Anusawari,100502,บางเขน,Bang Khen,1005,กรุงเทพมหานคร,Bangkok,10,30
10220,ท่าแร้ง,Tha Raeng,100508,บางเขน,Bang Khen,1005,กรุงเทพมหานคร,Bangkok,10,31
10240,คลองจั่น,Khlong Chan,100601,บางกะปิ,Bang Kapi,1006,กรุงเทพมหานคร,Bangkok,10,32
10240,หัวหมาก,Hua Mak,100608,บางกะปิ,Bang Kapi,1006,กรุงเทพมหานคร,Bangkok,10,33
10330,รองเมือง,Rong Mueang,100701,ปทุมวัน,Pathum Wan,1007,กรุงเทพมหานคร,Bangkok,10,34
