"role_id","permission_id","updated_at","created_at"
"HR","APPOINTMENT_READ","2024-01-14 15:15:26.263848+00","2024-01-14 15:15:26.263848+00"
"HR","APPOINTMENT-REMIND_READ","2024-01-14 15:15:26.263848+00","2024-01-14 15:15:26.263848+00"
"HR","CONSUMABLE_READ","2024-01-14 15:15:26.263848+00","2024-01-14 15:15:26.263848+00"
"HR","COURSE_READ","2024-01-14 15:15:26.263848+00","2024-01-14 15:15:26.263848+00"
"HR","CUSTOMER_DETAIL_READ","2024-01-14 15:15:26.263848+00","2024-01-14 15:15:26.263848+00"
"HR","CUSTOMER_PRINT","2024-01-14 15:15:26.263848+00","2024-01-14 15:15:26.263848+00"
"HR","CUSTOMER_READ","2024-01-14 15:15:26.263848+00","2024-01-14 15:15:26.263848+00"
"HR","DISPENSING_PRINT","2024-01-14 15:15:26.263848+00","2024-01-14 15:15:26.263848+00"
"HR","DISPENSING_READ","2024-01-14 15:15:26.263848+00","2024-01-14 15:15:26.263848+00"
"HR","DRUGS_READ","2024-01-14 15:15:26.263848+00","2024-01-14 15:15:26.263848+00"
"HR","MEDICINE_READ","2024-01-14 15:15:26.263848+00","2024-01-14 15:15:26.263848+00"
"HR","OPD_READ","2024-01-14 15:15:26.263848+00","2024-01-14 15:15:26.263848+00"
"HR","PRODUCTPURCHASE_PRINT","2024-01-14 15:15:26.263848+00","2024-01-14 15:15:26.263848+00"
"HR","PRODUCTPURCHASE_READ","2024-01-14 15:15:26.263848+00","2024-01-14 15:15:26.263848+00"
"HR","PRODUCT_READ","2024-01-14 15:15:26.263848+00","2024-01-14 15:15:26.263848+00"
"HR","PRODUCTRECEIVE_PRINT","2024-01-14 15:15:26.263848+00","2024-01-14 15:15:26.263848+00"
"HR","PRODUCTRECEIVE_READ","2024-01-14 15:15:26.263848+00","2024-01-14 15:15:26.263848+00"
"HR","PRODUCTTRANSFER_PRINT","2024-01-14 15:15:26.263848+00","2024-01-14 15:15:26.263848+00"
"HR","PRODUCTTRANSFER_READ","2024-01-14 15:15:26.263848+00","2024-01-14 15:15:26.263848+00"
"HR","PURCHASE_COURSE_PRINT","2024-01-14 15:15:26.263848+00","2024-01-14 15:15:26.263848+00"
"HR","PURCHASE-COURSE_READ","2024-01-14 15:15:26.263848+00","2024-01-14 15:15:26.263848+00"
"HR","DASHBOARD_READ","2024-01-14 15:15:26.263848+00","2024-01-14 15:15:26.263848+00"
"HR","RECEIPT_PRINT","2024-01-14 15:15:26.263848+00","2024-01-14 15:15:26.263848+00"
"HR","RECEIPT_READ","2024-01-14 15:15:26.263848+00","2024-01-14 15:15:26.263848+00"
"HR","REPORT-ACCOUNT_COURSE-BALANCE_PRINT","2024-01-14 15:15:26.263848+00","2024-01-14 15:15:26.263848+00"
"HR","REPORT-ACCOUNT_COURSE-BALANCE_READ","2024-01-14 15:15:26.263848+00","2024-01-14 15:15:26.263848+00"
"HR","REPORT-ACCOUNT_OVERDUE_PRINT","2024-01-14 15:15:26.263848+00","2024-01-14 15:15:26.263848+00"
"HR","REPORT-ACCOUNT_OVERDUE_READ","2024-01-14 15:15:26.263848+00","2024-01-14 15:15:26.263848+00"
"HR","REPORT-ACCOUNT_RECEIPT_PRINT","2024-01-14 15:15:26.263848+00","2024-01-14 15:15:26.263848+00"
"HR","REPORT-ACCOUNT_RECEIPT-PRODUCT_PRINT","2024-01-14 15:15:26.263848+00","2024-01-14 15:15:26.263848+00"
"HR","REPORT-ACCOUNT_RECEIPT-PRODUCT_READ","2024-01-14 15:15:26.263848+00","2024-01-14 15:15:26.263848+00"
"HR","REPORT-ACCOUNT_RECEIPT_READ","2024-01-14 15:15:26.263848+00","2024-01-14 15:15:26.263848+00"
"HR","REPORT-ACCOUNT_RECEIPT-WALLET_PRINT","2024-01-14 15:15:26.263848+00","2024-01-14 15:15:26.263848+00"
"HR","REPORT-ACCOUNT_RECEIPT-WALLET_READ","2024-01-14 15:15:26.263848+00","2024-01-14 15:15:26.263848+00"
