"document_key","title","updated_at","created_at",prefix
"CUSTOMER","ลูกค้า","2023-09-14 13:46:36.743793","2023-09-14 13:46:36.743793",CUS-
"OPD","opd","2023-09-14 13:46:36.743793","2023-09-14 13:46:36.743793",OPD-
"SALE_ORDER","ใบรายการขาย","2023-09-14 13:46:36.743793","2023-09-14 13:46:36.743793",SO-
"RECEIVE_ORDER","ใบรับสินค้า","2023-09-14 13:46:36.743793","2023-09-14 13:46:36.743793",RO-
"TRANFER_ORDER","ใบโอนย้ายสินค้า","2023-09-14 13:46:36.743793","2023-09-14 13:46:36.743793",TO-
"PURCHASE_ORDER","ใบสั่งซื้อสินค้า","2023-09-14 13:46:36.743793","2023-09-14 13:46:36.743793",PO-
"RECEIPT_PRODUCT","ใบเสร็จรับเงิน (สินค้า)","2023-09-14 13:46:36.743793","2023-09-14 13:46:36.743793",RP-
"RECEIPT_WALLET","ใบเสร็จรับเงิน (wallet)","2023-09-14 13:46:36.743793","2023-09-14 13:46:36.743793",RW-
"RECEIPT_RECEIVE_ORDER","ใบเสร็จรับเงิน (ใบรับสินค้า)","2023-09-14 13:46:36.743793","2023-09-14 13:46:36.743793",RRO-
"SERVICE_USAGE","ใบตัดคอร์ส","2023-09-14 13:46:36.743793","2023-09-14 13:46:36.743793",SU-
"WALLET","ใบเติม wallet","2023-09-14 13:46:36.743793","2023-09-14 13:46:36.743793",HW-
"ADJUST_STOCK","ปรับปรุงคลังสินค้า","2023-09-14 13:46:36.743793","2023-09-14 13:46:36.743793",IJ-
"CUT_STOCK","ตัดใช้สินค้า","2023-09-14 13:46:36.743793","2023-09-14 13:46:36.743793",IS-
