role_id,status,operable,updated_at,created_at,role_description_TH,role_description_EN
ADMIN,ACTIVE,false,2023-09-11 07:57:59.716,2023-09-11 07:57:59.716,แอดมิน,Admin
MANAGER,ACTIVE,false,2023-09-11 07:57:59.716,2023-09-11 07:57:59.716,ผู้จัดการ,Manager
CLINIC_OWNER,ACTIVE,false,2023-09-11 07:57:59.716,2023-09-11 07:57:59.716,เจ้าของคลินิก,Clinic Owner
THERAPIST,ACTIVE,true,2023-09-11 07:57:59.716,2023-09-11 07:57:59.716,เทอราปิส,Therapist
DOCTOR,ACTIVE,true,2023-09-11 07:57:59.716,2023-09-11 07:57:59.716,หมอ,Doctor
NURSE,ACTIVE,true,2023-09-11 07:57:59.716,2023-09-11 07:57:59.716,พยาบาล,Nurse
SALE,ACTIVE,false,2023-09-11 07:57:59.716,2023-09-11 07:57:59.716,พนักงานขาย,Sale
ACCOUNTANT,ACTIVE,false,2023-09-11 07:57:59.716,2023-09-11 07:57:59.716,บัญชี,Accountant
MAINTAINER,ACTIVE,false,2023-09-11 07:57:59.716,2023-09-11 07:57:59.716,ผู้ดูแลระบบ,Maintainer
MARKETING,ACTIVE,false,2023-09-11 07:57:59.716,2023-09-11 07:57:59.716,การตลาด,Marketing
HR,ACTIVE,false,2023-09-11 07:57:59.716,2023-09-11 07:57:59.716,ฝ่ายบุคคล,HR
PURCHASER,ACTIVE,false,2023-09-11 07:57:59.716,2023-09-11 07:57:59.716,จัดซื้อ,Purchaser
INVENTORY,ACTIVE,false,2023-09-11 07:57:59.716,2023-09-11 07:57:59.716,คลัง,Inventory
